Frequenz (Hz)	Pegel (dB)
20859,375000	-84,264412
20906,250000	-84,098007
20953,125000	-83,755699
21000,000000	-83,826881
21046,875000	-84,064911
21093,750000	-83,944008
21140,625000	-84,084999
21187,500000	-84,084053
21234,375000	-84,196213
21281,250000	-84,149902
21328,125000	-84,476822
21375,000000	-84,281609
21421,875000	-84,098282
21468,750000	-84,334785
21515,625000	-84,450653
21562,500000	-84,666832
21609,375000	-84,396805
21656,250000	-84,340469
21703,125000	-84,640968
21750,000000	-84,370468
21796,875000	-84,359306
21843,750000	-85,090462
21890,625000	-85,295357
21937,500000	-85,310555
21984,375000	-84,833488
22031,250000	-84,836708
22078,125000	-84,999832
22125,000000	-85,355690
22171,875000	-85,260628
22218,750000	-85,151245
22265,625000	-85,573433
22312,500000	-85,745224
22359,375000	-85,420280
22406,250000	-85,474823
22453,125000	-85,601082
22500,000000	-85,755516
22546,875000	-86,007256
22593,750000	-85,981216
22640,625000	-85,721115
22687,500000	-85,529015
22734,375000	-85,850212
22781,250000	-86,145241
22828,125000	-85,985550
22875,000000	-86,116035
22921,875000	-86,139030
22968,750000	-86,370399
23015,625000	-86,620033
23062,500000	-86,672180
23109,375000	-86,621307
23156,250000	-86,349052
23203,125000	-86,601517
23250,000000	-86,740425
23296,875000	-86,659431
23343,750000	-86,925507
23390,625000	-86,960388
23437,500000	-87,622261
23484,375000	-87,597534
23531,250000	-87,405418
23578,125000	-87,453194
23625,000000	-87,595352
23671,875000	-87,537697
23718,750000	-87,244873
23765,625000	-87,350784
23812,500000	-87,426308
23859,375000	-87,473129
23906,250000	-87,474190
23953,125000	-87,823166
